"Id","SalePrice"
1461,115836.984829572
1462,162434.951913078
1463,181611.377539058
1464,194191.387986283
1465,199324.432371011
1466,167746.546638809
1467,174103.295598389
1468,162951.289740969
1469,192825.54656106
1470,121406.978752012
1471,192884.359554693
1472,94264.7434452746
1473,92881.9402930308
1474,146730.202676787
1475,109469.970794191
1476,361564.709327863
1477,254781.496898398
1478,292293.635417858
1479,289303.362020177
1480,476026.508332971
1481,347961.042706769
1482,219849.157629938
1483,177786.170367852
1484,167544.582441763
1485,191339.829551356
1486,196024.000997009
1487,329934.466053309
1488,234785.203996733
1489,196198.561405989
1490,232724.788189851
1491,197042.390803411
1492,91840.5819953055
1493,188138.537949769
1494,301460.463887364
1495,294030.534930675
1496,231777.582497226
1497,179826.920514319
1498,168377.922810573
1499,160947.983542428
1500,157687.213561899
1501,174653.587097852
1502,147684.973389295
1503,296474.068747023
1504,244920.751414001
1505,225769.768500439
1506,196547.164199309
1507,242338.793032179
1508,200530.630090149
1509,158739.98510655
1510,145960.414477392
1511,147167.260630127
1512,180292.854243103
1513,144235.203758728
1514,162336.94775239
1515,187455.359065338
1516,155159.739165698
1517,169705.53470546
1518,133844.428933488
1519,211922.080230246
1520,131549.567438189
1521,131516.17750079
1522,175740.722622812
1523,110431.706251717
1524,123808.166579468
1525,117828.940208193
1526,117846.866474393
1527,102113.787939161
1528,134679.012771753
1529,151823.665505874
1530,181464.134750429
1531,107302.526372936
1532,102393.71676231
1533,158079.346374065
1534,121361.287478711
1535,153000.484589281
1536,110736.793711797
1537,66109.8934630313
1538,159327.1999675
1539,196720.045458767
1540,94512.4758077081
1541,140497.58369441
1542,142546.990751941
1543,196114.81550559
1544,86480.4116905451
1545,114448.565393248
1546,133689.573127627
1547,133778.568596729
1548,138805.950021995
1549,118710.711905511
1550,136617.783416604
1551,112504.638115153
1552,135520.931282982
1553,154643.741301579
1554,118340.890929836
1555,167988.646427651
1556,87792.8876990109
1557,107144.514810035
1558,93004.137367559
1559,79257.6179385681
1560,140660.062581159
1561,131783.992333902
1562,131128.142778875
1563,122237.081414113
1564,161182.96233192
1565,146008.103179886
1566,240330.895579299
1567,73614.7507726378
1568,244072.490264778
1569,132574.783986205
1570,138767.793105304
